"contacttypeid","name","modifieddate"
1,Accounting Manager,2008-04-30 00:00:00.000
2,Assistant Sales Agent,2008-04-30 00:00:00.000
3,Assistant Sales Representative,2008-04-30 00:00:00.000
4,Coordinator Foreign Markets,2008-04-30 00:00:00.000
5,Export Administrator,2008-04-30 00:00:00.000
6,International Marketing Manager,2008-04-30 00:00:00.000
7,Marketing Assistant,2008-04-30 00:00:00.000
8,Marketing Manager,2008-04-30 00:00:00.000
9,Marketing Representative,2008-04-30 00:00:00.000
10,Order Administrator,2008-04-30 00:00:00.000
11,Owner,2008-04-30 00:00:00.000
12,Owner/Marketing Assistant,2008-04-30 00:00:00.000
13,Product Manager,2008-04-30 00:00:00.000
14,Purchasing Agent,2008-04-30 00:00:00.000
15,Purchasing Manager,2008-04-30 00:00:00.000
16,Regional Account Representative,2008-04-30 00:00:00.000
17,Sales Agent,2008-04-30 00:00:00.000
18,Sales Associate,2008-04-30 00:00:00.000
19,Sales Manager,2008-04-30 00:00:00.000
20,Sales Representative,2008-04-30 00:00:00.000
