"productid","startdate","enddate","standardcost","modifieddate"
707,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,12.0278,2012-05-29 00:00:00.000
707,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,13.8782,2013-05-29 00:00:00.000
707,2013-05-30 00:00:00.000,,13.0863,2013-05-16 00:00:00.000
708,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,12.0278,2012-05-29 00:00:00.000
708,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,13.8782,2013-05-29 00:00:00.000
708,2013-05-30 00:00:00.000,,13.0863,2013-05-16 00:00:00.000
709,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,3.3963,2012-05-29 00:00:00.000
710,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,3.3963,2012-05-29 00:00:00.000
711,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,12.0278,2012-05-29 00:00:00.000
711,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,13.8782,2013-05-29 00:00:00.000
711,2013-05-30 00:00:00.000,,13.0863,2013-05-16 00:00:00.000
712,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,5.7052,2012-05-29 00:00:00.000
712,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,5.2297,2013-05-29 00:00:00.000
712,2013-05-30 00:00:00.000,,6.9223,2013-05-16 00:00:00.000
713,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,31.7244,2012-05-29 00:00:00.000
713,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,29.0807,2013-05-29 00:00:00.000
713,2013-05-30 00:00:00.000,,38.4923,2013-05-16 00:00:00.000
714,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,31.7244,2012-05-29 00:00:00.000
714,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,29.0807,2013-05-29 00:00:00.000
714,2013-05-30 00:00:00.000,,38.4923,2013-05-16 00:00:00.000
715,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,31.7244,2012-05-29 00:00:00.000
715,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,29.0807,2013-05-29 00:00:00.000
715,2013-05-30 00:00:00.000,,38.4923,2013-05-16 00:00:00.000
