"productid","modifieddate","documentnode"
317,2013-12-29 13:51:58.103,/2/1/
318,2013-12-29 13:51:58.103,/2/1/
319,2013-12-29 13:51:58.103,/2/1/
506,2013-12-29 13:51:58.103,/3/1/
506,2013-12-29 13:51:58.103,/3/2/
514,2013-12-29 13:51:58.120,/3/4/
515,2013-12-29 13:51:58.120,/3/4/
516,2013-12-29 13:51:58.120,/3/4/
517,2013-12-29 13:51:58.120,/3/4/
518,2013-12-29 13:51:58.120,/3/4/
519,2013-12-29 13:51:58.120,/3/4/
520,2013-12-29 13:51:58.120,/3/4/
521,2013-12-29 13:51:58.120,/3/4/
522,2013-12-29 13:51:58.120,/3/4/
928,2013-12-29 13:51:58.103,/2/1/
929,2013-12-29 13:51:58.103,/2/1/
930,2013-12-29 13:51:58.103,/2/1/
931,2013-12-29 13:51:58.103,/2/1/
932,2013-12-29 13:51:58.103,/2/1/
933,2013-12-29 13:51:58.103,/2/1/
934,2013-12-29 13:51:58.103,/2/1/
935,2013-12-29 13:51:58.103,/3/3/
936,2013-12-29 13:51:58.103,/3/3/
937,2013-12-29 13:51:58.103,/3/3/
938,2013-12-29 13:51:58.103,/3/3/
939,2013-12-29 13:51:58.103,/3/3/
940,2013-12-29 13:51:58.103,/3/3/
941,2013-12-29 13:51:58.103,/3/3/
977,2013-12-29 13:51:58.103,/1/1/
997,2013-12-29 13:51:58.103,/1/1/
998,2013-12-29 13:51:58.103,/1/1/
999,2013-12-29 13:51:58.120,/1/1/
