"productid","startdate","enddate","listprice","modifieddate"
707,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,33.6442,2012-05-29 00:00:00.000
707,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,33.6442,2013-05-29 00:00:00.000
707,2013-05-30 00:00:00.000,,34.99,2013-05-09 00:00:00.000
708,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,33.6442,2012-05-29 00:00:00.000
708,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,33.6442,2013-05-29 00:00:00.000
708,2013-05-30 00:00:00.000,,34.99,2013-05-09 00:00:00.000
709,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,9.5,2012-05-29 00:00:00.000
710,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,9.5,2012-05-29 00:00:00.000
711,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,33.6442,2012-05-29 00:00:00.000
711,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,33.6442,2013-05-29 00:00:00.000
711,2013-05-30 00:00:00.000,,34.99,2013-05-09 00:00:00.000
712,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,8.6442,2012-05-29 00:00:00.000
712,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,8.6442,2013-05-29 00:00:00.000
712,2013-05-30 00:00:00.000,,8.99,2013-05-09 00:00:00.000
713,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,48.0673,2012-05-29 00:00:00.000
713,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,48.0673,2013-05-29 00:00:00.000
713,2013-05-30 00:00:00.000,,49.99,2013-05-09 00:00:00.000
714,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,48.0673,2012-05-29 00:00:00.000
714,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,48.0673,2013-05-29 00:00:00.000
714,2013-05-30 00:00:00.000,,49.99,2013-05-09 00:00:00.000
715,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,48.0673,2012-05-29 00:00:00.000
715,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,48.0673,2013-05-29 00:00:00.000
715,2013-05-30 00:00:00.000,,49.99,2013-05-09 00:00:00.000
716,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,48.0673,2012-05-29 00:00:00.000
716,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,48.0673,2013-05-29 00:00:00.000
716,2013-05-30 00:00:00.000,,49.99,2013-05-09 00:00:00.000
717,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1263.4598,2012-05-29 00:00:00.000
717,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1301.3636,2013-05-29 00:00:00.000
717,2013-05-30 00:00:00.000,,1431.5,2013-05-09 00:00:00.000
718,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1263.4598,2012-05-29 00:00:00.000
718,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1301.3636,2013-05-29 00:00:00.000
718,2013-05-30 00:00:00.000,,1431.5,2013-05-09 00:00:00.000
719,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1263.4598,2012-05-29 00:00:00.000
719,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1301.3636,2013-05-29 00:00:00.000
719,2013-05-30 00:00:00.000,,1431.5,2013-05-09 00:00:00.000
720,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1263.4598,2012-05-29 00:00:00.000
720,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1301.3636,2013-05-29 00:00:00.000
720,2013-05-30 00:00:00.000,,1431.5,2013-05-09 00:00:00.000
721,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1263.4598,2012-05-29 00:00:00.000
721,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1301.3636,2013-05-29 00:00:00.000
721,2013-05-30 00:00:00.000,,1431.5,2013-05-09 00:00:00.000
722,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,297.6346,2012-05-29 00:00:00.000
722,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,306.5636,2013-05-29 00:00:00.000
722,2013-05-30 00:00:00.000,,337.22,2013-05-09 00:00:00.000
723,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,297.6346,2012-05-29 00:00:00.000
723,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,306.5636,2013-05-29 00:00:00.000
