"productmodelid","name","catalogdescription","instructions","rowguid","modifieddate"
1,Classic Vest,[NULL],[NULL],"29321d47-1e4c-4aac-887c-19634328c25e",2013-04-30 00:00:00.000
2,Cycling Cap,[NULL],[NULL],"474fb654-3c96-4cb9-82df-2152eeffbdb0",2011-05-01 00:00:00.000
3,Full-Finger Gloves,[NULL],[NULL],a75483fe-3c47-4aa4-93cf-664b51192987,2012-04-30 00:00:00.000
4,Half-Finger Gloves,[NULL],[NULL],"14b56f2a-d4aa-40a4-b9a2-984f165ed702",2012-04-30 00:00:00.000
5,HL Mountain Frame,[NULL],[NULL],fdd5407b-c2db-49d1-a86b-c13a2e3582a2,2011-05-01 00:00:00.000
6,HL Road Frame,[NULL],[NULL],"4d332ecc-48b3-4e04-b7e7-227f3ac2a7ec",2008-03-31 00:00:00.000
7,HL Touring Frame,[NULL],"<root xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelManuInstructions"">\n                Adventure Works CyclesFR-210B Instructions for Manufacturing HL Touring Frame. Summary: This document contains manufacturing instructions for manufacturing the HL Touring Frame, Product Model 7. Instructions are work center specific and are identified by Work Center ID. These instructions must be followed in the order presented. Deviation from the instructions is not permitted unless an authorized Change Order detailing the deviation is provided by the Engineering Manager.<Location LaborHours=""2.5"" LotSize=""100"" MachineHours=""3"" SetupHours=""0.5"" LocationID=""10"">\n                    Work Center 10 - Frame Forming. The following instructions pertain to Work Center 10. (Setup hours = .5, Labor Hours = 2.5, Machine Hours = 3, Lot Sizing = 100)<step>\n                        Insert <material>aluminum sheet MS-2341</material> into the <tool>T-85A framing tool</tool>.\n                    </step><step>\n                        Attach <tool>Trim Jig TJ-26</tool> to the upper and lower right corners of the aluminum sheet.\n                    </step><step>\n                        Using a <tool>router with a carbide tip 15</tool>, route the aluminum sheet following the jig carefully.\n                    </step><step>\n                        Insert the frame into <tool>Forming Tool FT-15</tool> and press Start.\n                    </step><step>\n                        When finished, inspect the forms for defects per Inspection Specification <specs>INFS-111</specs>.\n                    </step><step>Remove the frames from the tool and place them in the Completed or Rejected bin as appropriate.</step></Location><Location LaborHours=""1.75"" LotSize=""1"" MachineHours=""2"" SetupHours=""0.15"" LocationID=""20"">\n                    Work Center 20 - Frame Welding. The following instructions pertain to Work Center 20. (Setup hours = .15, Labor Hours = 1.75, Machine Hours = 2, Lot Sizing = 1)<step>\n                        Assemble all frame components following blueprint <blueprint>1299</blueprint>.\n                    </step><step>\n                        Weld all frame components together as shown in illustration <diag>3</diag></step><step>\n                        Inspect all weld joints per Adventure Works Cycles Inspection Specification <specs>INFS-208</specs>.\n                    </step></Location><Location LaborHours=""1"" LotSize=""1"" LocationID=""30"">\n                    Work Center 30 - Debur and Polish. The following instructions pertain to Work Center 30. (Setup hours = 0, Labor Hours = 1, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Using the <tool>standard debur tool</tool>, remove all excess material from weld areas.\n                    </step><step>\n                        Using <material>Acme Polish Cream</material>, polish all weld areas.\n                    </step></Location><Location LaborHours=""0.5"" LotSize=""20"" MachineHours=""0.65"" LocationID=""45"">\n                    Work Center 45 - Specialized Paint. The following instructions pertain to Work Center 45. (Setup hours = 0, Labor Hours = .5, Machine Hours = .65, Lot Sizing = 20)<step>\n                        Attach <material>a maximum of 20 frames</material> to <tool>paint harness</tool> ensuring frames are not touching.\n                    </step><step>\n                        Mix <material>primer PA-529S</material>. Test spray pattern on sample area and correct flow and pattern as required per engineering spec <specs>AWC-501</specs>.\n                    </step><step>Apply thin coat of primer to all surfaces.  </step><step>After 30 minutes, touch test for dryness. If dry to touch, lightly sand all surfaces. Remove all surface debris with compressed air. </step><step>\n                        Mix <material>paint</material> per manufacturer instructions.\n                    </step><step>\n                        Test spray pattern on sample area and correct flow and pattern as required per engineering spec <specs>AWC-509</specs>.\n                    </step><step>Apply thin coat of paint to all surfaces. </step><step>After 60 minutes, touch test for dryness. If dry to touch, reapply second coat. </step><step>\n                        Allow paint to cure for 24 hours and inspect per <specs>AWC-5015</specs>.\n                    </step></Location><Location LaborHours=""3"" LotSize=""1"" SetupHours=""0.25"" LocationID=""50"">\n                    Work Center 50 - SubAssembly. The following instructions pertain to Work Center 50. (Setup hours = .25, Labor Hours = 3, Machine Hours = 0, Lot Sizing = 1)<step>Add Seat Assembly. </step><step>Add Brake assembly.   </step><step>Add Wheel Assembly. </step><step>Inspect Front Derailleur. </step><step>Inspect Rear Derailleur. </step></Location><Location LaborHours=""4"" LotSize=""1"" LocationID=""60"">\n                    Work Center 60 - Final Assembly. The following instructions pertain to Work Center 60. (Setup hours = 0, Labor Hours = 4, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Perform final inspection per engineering specification <specs>AWC-915</specs>.\n</step><step>Complete all required certification forms.</step><step>Move to shipping.</step></Location></root>",d60ed2a5-c100-4c54-89a1-531404c4a20f,2015-04-15 16:34:28.980
8,LL Mountain Frame,[NULL],[NULL],"65bf3f6d-bcf2-4db6-8515-fc5c57423037",2012-10-19 09:56:38.273
9,LL Road Frame,[NULL],[NULL],ddc67a2f-024a-4446-9b54-3c679baba708,2011-05-01 00:00:00.000
10,LL Touring Frame,[NULL],"<root xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelManuInstructions"">\n                Adventure Works CyclesFR-200A Instructions for Manufacturing LL Touring Frame Summary: This document contains manufacturing instructions for manufacturing the LL Touring Frame, Product Model 10. Instructions are work center specific and are identified by work center ID. These instructions must be followed in the order presented. Deviation from the instructions is not permitted unless an authorized Change Order detailing the deviation is provided by the Engineering Manager.<Location LaborHours=""2"" LotSize=""100"" MachineHours=""2"" SetupHours=""0.1"" LocationID=""10"">\n                    Work Center 10 - Frame Forming. The following instructions pertain to Work Center 10. (Setup hours = .10, Labor Hours = 2, Machine Hours = 2, Lot Sizing = 100)<step>\n                        Insert <material>aluminum sheet MS-6061</material> into tool <tool>T-99 framing tool</tool>.\n                    </step><step>\n                        Attach <tool>Trim Jig TJ-25</tool> to the upper and lower right corners of the aluminum sheet.\n                    </step><step>\n                        Using a <tool>router with a carbide tip 26</tool>, route the aluminum sheet following the jig carefully.\n                    </step><step>\n                        Insert the frame into <tool>Forming Tool FT-25</tool> and press Start.\n                    </step><step>\n                        When finished, inspect the form for defects per <specs>Inspection Specification INFS-110</specs>.\n                    </step><step>Remove the frame from the tool and place it in the Completed or Rejected bin as appropriate.</step></Location><Location LaborHours=""1.5"" LotSize=""1"" MachineHours=""1.75"" SetupHours=""0.25"" LocationID=""20"">\n                    Work Center 20 - Frame Welding. The following instructions pertain to Work Center 20. (Setup hours = .25, Labor Hours = 1.5, Machine Hours = 1.75, Lot Sizing = 1)<step>\n                        Assemble all frame components following blueprint <blueprint>12345</blueprint>.\n                    </step><step>\n                        Weld all frame components together as shown in illustration <diag>3</diag></step><step>\n                        Inspect all weld joints per Adventure Works Cycles Inspection Specification <specs>INFS-206</specs>.\n                    </step></Location><Location LaborHours=""1"" LotSize=""1"" LocationID=""30"">\n                    Work Center 30 - Debur and Polish. The following instructions pertain to Work Center 30. (Setup hours = 0, Labor Hours = 1, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Using the <tool>standard debur tool</tool>, remove all excess material from weld areas.\n                    </step><step>\n                        Using <material>Acme Polish Cream</material>, polish all weld areas.\n                    </step></Location><Location LaborHours=""1.5"" LotSize=""20"" LocationID=""4"">\n                    Work Center 40 - Paint. The following instructions pertain to Work Center 40. (Setup hours = 0, Labor Hours = 1.5, Machine Hours = 0, Lot Sizing = 20)<step>\n                        Attach a <material>maximum of 20 frames</material> to paint harness ensuring frames are not touching.\n                    </step><step>\n                        Mix <material>primer PA-345</material>. Test spray pattern on sample area and correct flow and pattern as required per engineering spec <specs>AWC-502</specs>.\n                    </step><step>Apply thin coat of primer to all surfaces.  </step><step>\n                        After 30 minutes, touch test for dryness. If dry to touch, lightly sand all surfaces. Remove all surface debris with <material>compressed air</material>.\n                    </step><step>\n                        Mix <material>paint</material> per manufacturer instructions.\n                    </step><step>\n                        Test spray pattern on sample area and correct flow and pattern as required per engineering specification<specs>AWC-503</specs>.\n                    </step><step>Apply thin coat of paint to all surfaces. </step><step>After 60 minutes, touch test for dryness. If dry to touch, reapply second coat. </step><step>\n                        Allow paint to cure for 24 hours and inspect per <specs>AWC-5010</specs>.\n                    </step></Location><Location LaborHours=""3"" LotSize=""1"" SetupHours=""0.25"" LocationID=""50"">\n                    Work Center 50 - SubAssembly. The following instructions pertain to Work Center 50. (Setup hours = .25, Labor Hours = 3, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Add <material>Seat Assembly</material>.\n                    </step><step>\n                        Add <material>Brake assembly</material>.\n                    </step><step>\n                        Add <material>Wheel Assembly</material>.\n                    </step><step>Inspect Front Derailleur. </step><step>Inspect Rear Derailleur.</step></Location><Location LaborHours=""4"" LotSize=""1"" LocationID=""60"">\n                    Work Center 60 - Final Assembly. The following instructions pertain to Work Center 60. (Setup hours = 0, Labor Hours = 4, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Perform final inspection per engineering specification <specs>AWC-910</specs>.\n</step><step>Complete all required certification forms.</step><step>Move to shipping.</step></Location></root>","66c63844-2a24-473c-96d5-d3b3fd57d834",2015-04-15 16:34:28.980
