"productid","productphotoid","primary","modifieddate"
1,1,true,2008-03-31 00:00:00.000
2,1,true,2008-03-31 00:00:00.000
3,1,true,2008-03-31 00:00:00.000
4,1,true,2008-03-31 00:00:00.000
316,1,true,2008-03-31 00:00:00.000
317,1,true,2008-03-31 00:00:00.000
318,1,true,2008-03-31 00:00:00.000
319,1,true,2008-03-31 00:00:00.000
320,1,true,2008-03-31 00:00:00.000
321,1,true,2008-03-31 00:00:00.000
322,1,true,2008-03-31 00:00:00.000
323,1,true,2008-03-31 00:00:00.000
324,1,true,2008-03-31 00:00:00.000
325,1,true,2008-03-31 00:00:00.000
326,1,true,2008-03-31 00:00:00.000
327,1,true,2008-03-31 00:00:00.000
328,1,true,2008-03-31 00:00:00.000
329,1,true,2008-03-31 00:00:00.000
330,1,true,2008-03-31 00:00:00.000
331,1,true,2008-03-31 00:00:00.000
332,160,true,2008-03-31 00:00:00.000
341,1,true,2008-03-31 00:00:00.000
342,1,true,2008-03-31 00:00:00.000
343,1,true,2008-03-31 00:00:00.000
344,1,true,2008-03-31 00:00:00.000
345,1,true,2008-03-31 00:00:00.000
346,1,true,2008-03-31 00:00:00.000
347,1,true,2008-03-31 00:00:00.000
348,1,true,2008-03-31 00:00:00.000
349,1,true,2008-03-31 00:00:00.000
350,1,true,2008-03-31 00:00:00.000
351,1,true,2008-03-31 00:00:00.000
352,1,true,2008-03-31 00:00:00.000
355,1,true,2008-03-31 00:00:00.000
356,1,true,2008-03-31 00:00:00.000
357,1,true,2008-03-31 00:00:00.000
358,1,true,2008-03-31 00:00:00.000
359,1,true,2008-03-31 00:00:00.000
360,1,true,2008-03-31 00:00:00.000
361,1,true,2008-03-31 00:00:00.000
362,1,true,2008-03-31 00:00:00.000
363,1,true,2008-03-31 00:00:00.000
364,1,true,2008-03-31 00:00:00.000
365,1,true,2008-03-31 00:00:00.000
366,1,true,2008-03-31 00:00:00.000
367,1,true,2008-03-31 00:00:00.000
368,1,true,2008-03-31 00:00:00.000
369,1,true,2008-03-31 00:00:00.000
370,1,true,2008-03-31 00:00:00.000
371,1,true,2008-03-31 00:00:00.000
372,1,true,2008-03-31 00:00:00.000
373,1,true,2008-03-31 00:00:00.000
374,1,true,2008-03-31 00:00:00.000
375,1,true,2008-03-31 00:00:00.000
376,1,true,2008-03-31 00:00:00.000
377,1,true,2008-03-31 00:00:00.000
378,1,true,2008-03-31 00:00:00.000
379,1,true,2008-03-31 00:00:00.000
380,1,true,2008-03-31 00:00:00.000
381,1,true,2008-03-31 00:00:00.000
382,1,true,2008-03-31 00:00:00.000
383,1,true,2008-03-31 00:00:00.000
384,1,true,2008-03-31 00:00:00.000
385,1,true,2008-03-31 00:00:00.000
386,1,true,2008-03-31 00:00:00.000
387,1,true,2008-03-31 00:00:00.000
388,1,true,2008-03-31 00:00:00.000
389,1,true,2008-03-31 00:00:00.000
390,1,true,2008-03-31 00:00:00.000
391,1,true,2008-03-31 00:00:00.000
392,1,true,2008-03-31 00:00:00.000
393,1,true,2008-03-31 00:00:00.000
394,1,true,2008-03-31 00:00:00.000
395,1,true,2008-03-31 00:00:00.000
396,1,true,2008-03-31 00:00:00.000
397,1,true,2008-03-31 00:00:00.000
398,1,true,2008-03-31 00:00:00.000
399,1,true,2008-03-31 00:00:00.000
400,1,true,2008-03-31 00:00:00.000
401,1,true,2008-03-31 00:00:00.000
402,1,true,2008-03-31 00:00:00.000
403,1,true,2008-03-31 00:00:00.000
404,1,true,2008-03-31 00:00:00.000
405,1,true,2008-03-31 00:00:00.000
406,1,true,2008-03-31 00:00:00.000
407,1,true,2008-03-31 00:00:00.000
408,1,true,2008-03-31 00:00:00.000
409,1,true,2008-03-31 00:00:00.000
410,1,true,2008-03-31 00:00:00.000
411,1,true,2008-03-31 00:00:00.000
412,1,true,2008-03-31 00:00:00.000
413,1,true,2008-03-31 00:00:00.000
414,1,true,2008-03-31 00:00:00.000
415,1,true,2008-03-31 00:00:00.000
416,1,true,2008-03-31 00:00:00.000
417,1,true,2008-03-31 00:00:00.000
418,1,true,2008-03-31 00:00:00.000
419,1,true,2008-03-31 00:00:00.000
420,1,true,2008-03-31 00:00:00.000
421,1,true,2008-03-31 00:00:00.000
422,1,true,2008-03-31 00:00:00.000
423,1,true,2008-03-31 00:00:00.000
424,1,true,2008-03-31 00:00:00.000
