"unitmeasurecode","name","modifieddate"
BOX,Boxes,2008-04-30 00:00:00.000
BTL,Bottle,2008-04-30 00:00:00.000
C  ,Celsius,2008-04-30 00:00:00.000
CAN,Canister,2008-04-30 00:00:00.000
CAR,Carton,2008-04-30 00:00:00.000
CBM,Cubic meters,2008-04-30 00:00:00.000
CCM,Cubic centimeter,2008-04-30 00:00:00.000
CDM,Cubic decimeter,2008-04-30 00:00:00.000
CM ,Centimeter,2008-04-30 00:00:00.000
CM2,Square centimeter,2008-04-30 00:00:00.000
CR ,Crate,2008-04-30 00:00:00.000
CS ,Case,2008-04-30 00:00:00.000
CTN,Container,2008-04-30 00:00:00.000
DM ,Decimeter,2008-04-30 00:00:00.000
DZ ,Dozen,2008-04-30 00:00:00.000
EA ,Each,2008-04-30 00:00:00.000
FT3,Cubic foot,2008-04-30 00:00:00.000
G  ,Gram,2008-04-30 00:00:00.000
GAL,Gallon,2008-04-30 00:00:00.000
IN ,Inch,2008-04-30 00:00:00.000
KG ,Kilogram,2008-04-30 00:00:00.000
KGV,Kilogram/cubic meter,2008-04-30 00:00:00.000
KM ,Kilometer,2008-04-30 00:00:00.000
KT ,Kiloton,2008-04-30 00:00:00.000
L  ,Liter,2008-04-30 00:00:00.000
LB ,US pound,2008-04-30 00:00:00.000
M  ,Meter,2008-04-30 00:00:00.000
M2 ,Square meter,2008-04-30 00:00:00.000
M3 ,Cubic meter,2008-04-30 00:00:00.000
MG ,Milligram,2008-04-30 00:00:00.000
ML ,Milliliter,2008-04-30 00:00:00.000
MM ,Millimeter,2008-04-30 00:00:00.000
OZ ,Ounces,2008-04-30 00:00:00.000
PAK,Pack,2008-04-30 00:00:00.000
PAL,Pallet,2008-04-30 00:00:00.000
PC ,Piece,2008-04-30 00:00:00.000
PCT,Percentage,2008-04-30 00:00:00.000
PT ,"Pint, US liquid",2008-04-30 00:00:00.000
