"productid","businessentityid","averageleadtime","standardprice","lastreceiptcost","lastreceiptdate","minorderqty","maxorderqty","onorderqty","unitmeasurecode","modifieddate"
1,1580,17,47.87,50.2635,2011-08-29 00:00:00.000,1,5,3,CS ,2011-08-29 00:00:00.000
2,1688,19,39.92,41.916,2011-08-29 00:00:00.000,1,5,3,CTN,2011-08-29 00:00:00.000
4,1650,17,54.31,57.0255,2011-08-29 00:00:00.000,1,5,,CTN,2011-08-29 00:00:00.000
317,1578,19,28.17,29.5785,2011-08-29 00:00:00.000,100,1000,300,EA ,2011-08-29 00:00:00.000
317,1678,17,25.77,27.0585,2011-08-25 00:00:00.000,100,1000,,EA ,2011-08-25 00:00:00.000
318,1578,19,34.38,36.099,2011-08-29 00:00:00.000,100,1000,,EA ,2011-08-29 00:00:00.000
318,1678,17,31.98,33.579,2011-08-25 00:00:00.000,100,1000,300,EA ,2011-08-25 00:00:00.000
319,1556,19,44.21,46.4205,2011-08-29 00:00:00.000,100,1000,300,EA ,2011-08-29 00:00:00.000
319,1578,19,46.27,48.5835,2011-08-29 00:00:00.000,100,1000,,EA ,2011-08-29 00:00:00.000
319,1678,17,43.87,46.0635,2011-08-25 00:00:00.000,100,1000,,EA ,2011-08-25 00:00:00.000
320,1514,19,47.28,49.644,2011-08-29 00:00:00.000,1,5,3,CAN,2011-08-29 00:00:00.000
320,1602,17,45.21,47.4705,2011-08-19 00:00:00.000,1,5,,CAN,2011-08-19 00:00:00.000
320,1604,17,43.21,45.3705,2011-08-25 00:00:00.000,1,5,,CAN,2011-08-25 00:00:00.000
321,1514,19,42.21,44.3205,2011-08-29 00:00:00.000,1,5,,CAN,2011-08-29 00:00:00.000
321,1602,17,40.76,42.798,2011-08-19 00:00:00.000,1,5,,CAN,2011-08-19 00:00:00.000
321,1604,17,38.56,40.488,2011-08-25 00:00:00.000,1,5,,CAN,2011-08-25 00:00:00.000
322,1514,19,27.33,28.6965,2011-08-24 00:00:00.000,20,100,,DZ ,2011-08-24 00:00:00.000
322,1602,17,24.21,25.4205,2011-08-25 00:00:00.000,20,100,,DZ ,2011-08-25 00:00:00.000
322,1604,17,25.11,26.3655,2011-08-25 00:00:00.000,20,100,,DZ ,2011-08-25 00:00:00.000
323,1698,17,47.87,50.2635,2011-08-25 00:00:00.000,1,5,,CS ,2011-08-25 00:00:00.000
325,1590,19,0.2,0.21,2011-08-29 00:00:00.000,500,2000,,EA ,2011-08-29 00:00:00.000
326,1590,19,0.2,0.21,2011-08-29 00:00:00.000,500,2000,,EA ,2011-08-29 00:00:00.000
332,1608,19,10.3,10.815,2011-08-29 00:00:00.000,100,1000,,EA ,2011-08-29 00:00:00.000
341,1598,15,39.21,41.1705,2011-08-26 00:00:00.000,1,5,3,CTN,2011-08-26 00:00:00.000
341,1614,19,45.31,47.5755,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
341,1622,19,45.21,47.4705,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
342,1598,15,37.21,39.0705,2011-08-26 00:00:00.000,1,5,3,CTN,2011-08-26 00:00:00.000
342,1614,19,43.31,45.4755,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
342,1622,19,43.21,45.3705,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
343,1598,15,41.28,43.344,2011-08-26 00:00:00.000,1,5,,CTN,2011-08-26 00:00:00.000
343,1614,19,47.38,49.749,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
343,1622,19,47.28,49.644,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
344,1598,15,37.21,39.0705,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
344,1614,19,43.31,45.4755,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
344,1622,19,43.21,45.3705,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
345,1598,15,35.21,36.9705,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
345,1614,19,41.31,43.3755,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
345,1622,19,41.21,43.2705,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
346,1598,15,39.28,41.244,2011-08-13 00:00:00.000,1,5,,CTN,2011-08-13 00:00:00.000
346,1614,19,45.38,47.649,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
346,1622,19,45.28,47.544,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
347,1598,15,35.21,36.9705,2011-08-13 00:00:00.000,1,5,3,CTN,2011-08-13 00:00:00.000
347,1614,19,41.31,43.3755,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
347,1622,19,41.21,43.2705,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
348,1598,15,33.21,34.8705,2011-08-20 00:00:00.000,1,5,3,CTN,2011-08-20 00:00:00.000
348,1614,19,39.31,41.2755,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
348,1622,19,39.21,41.1705,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
349,1598,15,37.28,39.144,2011-08-20 00:00:00.000,1,5,3,CTN,2011-08-20 00:00:00.000
349,1614,19,43.38,45.549,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
349,1622,19,43.28,45.444,2011-08-18 00:00:00.000,1,5,,CTN,2011-08-18 00:00:00.000
351,1544,15,5.5,5.775,2011-08-26 00:00:00.000,100,1000,,EA ,2011-08-26 00:00:00.000
351,1694,15,5.9,6.195,2011-08-26 00:00:00.000,100,1000,300,EA ,2011-08-26 00:00:00.000
352,1544,15,1.1,1.155,2011-08-26 00:00:00.000,100,1000,300,EA ,2011-08-26 00:00:00.000
352,1694,15,1.4,1.47,2011-08-26 00:00:00.000,100,1000,,EA ,2011-08-26 00:00:00.000
355,1508,15,1.3,1.365,2011-08-26 00:00:00.000,100,1000,300,EA ,2011-08-26 00:00:00.000
356,1516,18,3.43,3.6015,2011-08-27 00:00:00.000,20,100,,PAK,2011-08-27 00:00:00.000
356,1572,16,3.22,3.381,2011-08-28 00:00:00.000,20,100,60,PAK,2011-08-28 00:00:00.000
357,1516,18,3.79,3.9795,2011-08-27 00:00:00.000,20,100,,PAK,2011-08-27 00:00:00.000
357,1572,16,4.11,4.3155,2011-08-28 00:00:00.000,20,100,60,PAK,2011-08-28 00:00:00.000
358,1500,16,6.65,6.9825,2011-08-28 00:00:00.000,20,100,60,PAK,2011-08-28 00:00:00.000
359,1496,17,45.41,47.6805,2011-08-29 00:00:00.000,1,5,3,CS ,2011-08-29 00:00:00.000
359,1554,19,45.26,47.523,2011-08-11 00:00:00.000,1,5,,CS ,2011-08-11 00:00:00.000
360,1496,17,43.41,45.5805,2011-08-29 00:00:00.000,1,5,3,CS ,2011-08-29 00:00:00.000
360,1554,19,43.26,45.423,2011-08-11 00:00:00.000,1,5,,CS ,2011-08-11 00:00:00.000
361,1496,17,47.48,49.854,2011-08-05 00:00:00.000,1,5,,CS ,2011-08-05 00:00:00.000
361,1554,19,47.33,49.6965,2011-08-18 00:00:00.000,1,5,,CS ,2011-08-18 00:00:00.000
362,1496,17,43.41,45.5805,2011-08-05 00:00:00.000,1,5,3,CS ,2011-08-05 00:00:00.000
362,1554,19,43.26,45.423,2011-08-18 00:00:00.000,1,5,,CS ,2011-08-18 00:00:00.000
363,1496,17,41.41,43.4805,2011-08-05 00:00:00.000,1,5,,CS ,2011-08-05 00:00:00.000
363,1554,19,41.26,43.323,2011-08-18 00:00:00.000,1,5,,CS ,2011-08-18 00:00:00.000
364,1496,17,45.48,47.754,2011-08-12 00:00:00.000,1,5,3,CS ,2011-08-12 00:00:00.000
364,1554,19,45.33,47.5965,2011-08-24 00:00:00.000,1,5,,CS ,2011-08-24 00:00:00.000
365,1496,17,41.41,43.4805,2011-08-12 00:00:00.000,1,5,,CS ,2011-08-12 00:00:00.000
365,1554,19,41.26,43.323,2011-08-24 00:00:00.000,1,5,,CS ,2011-08-24 00:00:00.000
366,1496,17,39.41,41.3805,2011-08-12 00:00:00.000,1,5,3,CS ,2011-08-12 00:00:00.000
366,1554,19,39.26,41.223,2011-08-29 00:00:00.000,1,5,,CS ,2011-08-29 00:00:00.000
367,1496,17,43.48,45.654,2011-08-12 00:00:00.000,1,5,,CS ,2011-08-12 00:00:00.000
367,1554,19,43.33,45.4965,2011-08-29 00:00:00.000,1,5,,CS ,2011-08-29 00:00:00.000
368,1496,17,39.41,41.3805,2011-08-12 00:00:00.000,1,5,3,CS ,2011-08-12 00:00:00.000
368,1554,19,39.26,41.223,2011-08-29 00:00:00.000,1,5,,CS ,2011-08-29 00:00:00.000
369,1496,17,37.41,39.2805,2011-08-12 00:00:00.000,1,5,3,CS ,2011-08-12 00:00:00.000
369,1554,19,37.26,39.123,2011-08-29 00:00:00.000,1,5,,CS ,2011-08-29 00:00:00.000
370,1496,17,41.48,43.554,2011-08-18 00:00:00.000,1,5,3,CS ,2011-08-18 00:00:00.000
370,1554,19,41.33,43.3965,2011-07-30 00:00:00.000,1,5,,CS ,2011-07-30 00:00:00.000
371,1496,17,37.41,39.2805,2011-08-18 00:00:00.000,1,5,,CS ,2011-08-18 00:00:00.000
371,1554,19,37.26,39.123,2011-07-30 00:00:00.000,1,5,,CS ,2011-07-30 00:00:00.000
372,1496,17,35.41,37.1805,2011-08-18 00:00:00.000,1,5,3,CS ,2011-08-18 00:00:00.000
372,1554,19,35.26,37.023,2011-07-30 00:00:00.000,1,5,,CS ,2011-07-30 00:00:00.000
373,1496,17,39.48,41.454,2011-08-18 00:00:00.000,1,5,3,CS ,2011-08-18 00:00:00.000
373,1554,19,39.33,41.2965,2011-07-30 00:00:00.000,1,5,,CS ,2011-07-30 00:00:00.000
374,1496,17,35.41,37.1805,2011-08-24 00:00:00.000,1,5,3,CS ,2011-08-24 00:00:00.000
374,1554,19,35.26,37.023,2011-08-05 00:00:00.000,1,5,,CS ,2011-08-05 00:00:00.000
