"purchaseorderid","purchaseorderdetailid","duedate","orderqty","productid","unitprice","receivedqty","rejectedqty","modifieddate"
1,1,2011-04-30 00:00:00.000,4,1,50.26,3.00,0.00,2011-04-23 00:00:00.000
2,2,2011-04-30 00:00:00.000,3,359,45.12,3.00,0.00,2011-04-23 00:00:00.000
2,3,2011-04-30 00:00:00.000,3,360,45.5805,3.00,0.00,2011-04-23 00:00:00.000
3,4,2011-04-30 00:00:00.000,550,530,16.086,550.00,0.00,2011-04-23 00:00:00.000
4,5,2011-04-30 00:00:00.000,3,4,57.0255,2.00,1.00,2011-04-23 00:00:00.000
5,6,2011-05-14 00:00:00.000,550,512,37.086,550.00,0.00,2011-05-07 00:00:00.000
6,7,2011-05-14 00:00:00.000,550,513,26.5965,468.00,0.00,2011-05-07 00:00:00.000
7,8,2011-05-14 00:00:00.000,550,317,27.0585,550.00,0.00,2011-05-07 00:00:00.000
7,9,2011-05-14 00:00:00.000,550,318,33.579,550.00,0.00,2011-05-07 00:00:00.000
7,10,2011-05-14 00:00:00.000,550,319,46.0635,550.00,0.00,2011-05-07 00:00:00.000
8,11,2011-05-14 00:00:00.000,3,403,47.4705,3.00,0.00,2011-05-07 00:00:00.000
8,12,2011-05-14 00:00:00.000,3,404,45.3705,3.00,0.00,2011-05-07 00:00:00.000
8,13,2011-05-14 00:00:00.000,3,405,49.644,3.00,0.00,2011-05-07 00:00:00.000
8,14,2011-05-14 00:00:00.000,3,406,45.3705,3.00,0.00,2011-05-07 00:00:00.000
8,15,2011-05-14 00:00:00.000,3,407,43.2705,3.00,0.00,2011-05-07 00:00:00.000
9,16,2011-12-28 00:00:00.000,3,422,47.523,3.00,0.00,2011-12-21 00:00:00.000
9,17,2011-12-28 00:00:00.000,3,423,45.423,3.00,0.00,2011-12-21 00:00:00.000
9,18,2011-12-28 00:00:00.000,3,424,49.6965,3.00,0.00,2011-12-21 00:00:00.000
9,19,2011-12-28 00:00:00.000,3,425,45.423,3.00,0.00,2011-12-21 00:00:00.000
9,20,2011-12-28 00:00:00.000,3,426,43.323,3.00,0.00,2011-12-21 00:00:00.000
10,21,2011-12-28 00:00:00.000,3,320,47.4705,3.00,0.00,2011-12-21 00:00:00.000
10,22,2011-12-28 00:00:00.000,3,321,42.798,3.00,0.00,2011-12-21 00:00:00.000
10,23,2011-12-28 00:00:00.000,60,322,25.4205,60.00,0.00,2011-12-21 00:00:00.000
