"purchaseorderid","revisionnumber","status","employeeid","vendorid","shipmethodid","orderdate","shipdate","subtotal","taxamt","freight","modifieddate"
1,4,4,258,1580,3,2011-04-16 00:00:00.000,2011-04-25 00:00:00.000,201.04,16.0832,5.026,2011-04-25 00:00:00.000
2,4,1,254,1496,5,2011-04-16 00:00:00.000,2011-04-25 00:00:00.000,272.1015,21.7681,6.8025,2011-04-25 00:00:00.000
3,4,4,257,1494,2,2011-04-16 00:00:00.000,2011-04-25 00:00:00.000,8847.3,707.784,221.1825,2011-04-25 00:00:00.000
4,4,3,261,1650,5,2011-04-16 00:00:00.000,2011-04-25 00:00:00.000,171.0765,13.6861,4.2769,2011-04-25 00:00:00.000
5,4,4,251,1654,4,2011-04-30 00:00:00.000,2011-05-09 00:00:00.000,20397.3,1631.784,509.9325,2011-05-09 00:00:00.000
6,4,4,253,1664,3,2011-04-30 00:00:00.000,2011-05-09 00:00:00.000,14628.075,1170.246,365.7019,2011-05-09 00:00:00.000
7,4,4,255,1678,3,2011-04-30 00:00:00.000,2011-05-09 00:00:00.000,58685.55,4694.844,1467.1388,2011-05-09 00:00:00.000
8,4,4,256,1616,5,2011-04-30 00:00:00.000,2011-05-09 00:00:00.000,693.378,55.4702,17.3345,2011-05-09 00:00:00.000
9,5,4,259,1492,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,694.1655,55.5332,17.3541,2011-12-23 00:00:00.000
10,4,4,250,1602,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,1796.0355,143.6828,44.9009,2011-12-23 00:00:00.000
11,4,4,258,1540,4,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,501.1965,40.0957,12.5299,2011-12-23 00:00:00.000
12,4,4,254,1628,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,34644.225,2771.538,866.1056,2011-12-23 00:00:00.000
13,4,4,257,1604,4,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,1839.5055,147.1604,45.9876,2011-12-23 00:00:00.000
14,4,3,261,1690,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,146.286,11.7029,3.6572,2011-12-23 00:00:00.000
15,4,4,251,1566,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,102.564,8.2051,2.5641,2011-12-23 00:00:00.000
16,4,4,253,1698,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,150.7905,12.0632,3.7698,2011-12-23 00:00:00.000
17,4,4,255,1560,5,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,13669.425,1093.554,341.7356,2011-12-24 00:00:00.000
18,4,4,256,1692,5,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,16393.23,1311.4584,409.8308,2011-12-24 00:00:00.000
19,4,4,259,1696,2,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,79204.125,6336.33,1980.1031,2011-12-24 00:00:00.000
20,4,4,260,1504,1,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,551.88,44.1504,13.797,2011-12-24 00:00:00.000
21,4,4,250,1544,1,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,6987.75,559.02,174.6938,2011-12-24 00:00:00.000
22,4,4,254,1530,2,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,28072.275,2245.782,701.8069,2011-12-24 00:00:00.000
23,4,4,257,1508,1,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,37312.275,2984.982,932.8069,2011-12-24 00:00:00.000
24,4,3,261,1694,1,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,4215.75,337.26,105.3938,2011-12-24 00:00:00.000
25,4,4,251,1624,2,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,28297.5,2263.8,707.4375,2011-12-24 00:00:00.000
26,4,4,253,1548,2,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,59.9445,4.7956,1.4986,2011-12-24 00:00:00.000
27,4,4,255,1598,4,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,722.61,57.8088,18.0653,2011-12-24 00:00:00.000
28,4,4,256,1658,5,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,43878.45,3510.276,1096.9613,2011-12-24 00:00:00.000
29,4,4,259,1536,4,2012-01-08 00:00:00.000,2012-01-17 00:00:00.000,592.7985,47.4239,14.82,2012-01-17 00:00:00.000
