"currencycode","name","modifieddate"
AED,Emirati Dirham,2008-04-30 00:00:00.000
AFA,Afghani,2008-04-30 00:00:00.000
ALL,Lek,2008-04-30 00:00:00.000
AMD,Armenian Dram,2008-04-30 00:00:00.000
ANG,Netherlands Antillian Guilder,2008-04-30 00:00:00.000
AOA,Kwanza,2008-04-30 00:00:00.000
ARS,Argentine Peso,2008-04-30 00:00:00.000
ATS,Shilling,2008-04-30 00:00:00.000
AUD,Australian Dollar,2008-04-30 00:00:00.000
AWG,Aruban Guilder,2008-04-30 00:00:00.000
AZM,Azerbaijanian Manat,2008-04-30 00:00:00.000
BBD,Barbados Dollar,2008-04-30 00:00:00.000
BDT,Taka,2008-04-30 00:00:00.000
BEF,Belgian Franc,2008-04-30 00:00:00.000
BGN,Bulgarian Lev,2008-04-30 00:00:00.000
BHD,Bahraini Dinar,2008-04-30 00:00:00.000
BND,Brunei Dollar,2008-04-30 00:00:00.000
BOB,Boliviano,2008-04-30 00:00:00.000
BRL,Brazilian Real,2008-04-30 00:00:00.000
BSD,Bahamian Dollar,2008-04-30 00:00:00.000
BTN,Ngultrum,2008-04-30 00:00:00.000
CAD,Canadian Dollar,2008-04-30 00:00:00.000
CHF,Swiss Franc,2008-04-30 00:00:00.000
CLP,Chilean Peso,2008-04-30 00:00:00.000
CNY,Yuan Renminbi,2008-04-30 00:00:00.000
COP,Colombian Peso,2008-04-30 00:00:00.000
CRC,Costa Rican Colon,2008-04-30 00:00:00.000
CYP,Cyprus Pound,2008-04-30 00:00:00.000
CZK,Czech Koruna,2008-04-30 00:00:00.000
DEM,Deutsche Mark,2008-04-30 00:00:00.000
DKK,Danish Krone,2008-04-30 00:00:00.000
DOP,Dominican Peso,2008-04-30 00:00:00.000
DZD,Algerian Dinar,2008-04-30 00:00:00.000
EEK,Kroon,2008-04-30 00:00:00.000
EGP,Egyptian Pound,2008-04-30 00:00:00.000
ESP,Spanish Peseta,2008-04-30 00:00:00.000
EUR,EURO,2008-04-30 00:00:00.000
FIM,Markka,2008-04-30 00:00:00.000
FJD,Fiji Dollar,2008-04-30 00:00:00.000
FRF,French Franc,2008-04-30 00:00:00.000
GBP,United Kingdom Pound,2008-04-30 00:00:00.000
GHC,Cedi,2008-04-30 00:00:00.000
GRD,Drachma,2008-04-30 00:00:00.000
GTQ,Quetzal,2008-04-30 00:00:00.000
HKD,Hong Kong Dollar,2008-04-30 00:00:00.000
HRK,Croatian Kuna,2008-04-30 00:00:00.000
HUF,Forint,2008-04-30 00:00:00.000
IDR,Rupiah,2008-04-30 00:00:00.000
IEP,Irish Pound,2008-04-30 00:00:00.000
