"customerid","personid","storeid","territoryid","rowguid","modifieddate"
1,,934,1,"3f5ae95e-b87d-4aed-95b4-c3797afcb74f",2014-09-12 11:15:07.263
2,,1028,1,e552f657-a9af-4a7d-a645-c429d6e02491,2014-09-12 11:15:07.263
3,,642,4,"130774b1-db21-4ef3-98c8-c104bcd6ed6d",2014-09-12 11:15:07.263
4,,932,4,ff862851-1daa-4044-be7c-3e85583c054d,2014-09-12 11:15:07.263
5,,1026,4,"83905bdc-6f5e-4f71-b162-c98da069f38a",2014-09-12 11:15:07.263
6,,644,4,"1a92df88-bfa2-467d-bd54-fcb9e647fdd7",2014-09-12 11:15:07.263
7,,930,1,"03e9273e-b193-448e-9823-fe0c44aeed78",2014-09-12 11:15:07.263
8,,1024,5,"801368b1-4323-4bfa-8bea-5b5b1e4bd4a0",2014-09-12 11:15:07.263
9,,620,5,b900bb7f-23c3-481d-80da-c49a5bd6f772,2014-09-12 11:15:07.263
10,,928,6,cdb6698d-2ff1-4fba-8f22-60ad1d11dabd,2014-09-12 11:15:07.263
11,,1022,6,"750f3495-59c4-48a0-80e1-e37ec60e77d9",2014-09-12 11:15:07.263
12,,622,6,"947bcaf1-1f32-44f3-b9c3-0011f95fbe54",2014-09-12 11:15:07.263
13,,434,7,b0fa5854-2511-439b-a7ac-50c9c460b175,2014-09-12 11:15:07.263
14,,1020,8,"2f96bedc-723d-468f-834b-b2b8ae79c849",2014-09-12 11:15:07.263
15,,624,9,"0340737b-d4fa-4795-93aa-caeb8371bcf9",2014-09-12 11:15:07.263
16,,432,10,c9381589-d31c-4efe-8978-8d3449eb1f0f,2014-09-12 11:15:07.263
17,,1018,5,"34db417f-1e0b-4408-9ff6-987e59d0d73c",2014-09-12 11:15:07.263
18,,1332,3,c04d6b4d-94c6-4c5c-a44c-b449c0ac1b45,2014-09-12 11:15:07.263
19,,430,1,"69ae5d43-31be-4b76-bfbb-5a23c4788bbc",2014-09-12 11:15:07.263
20,,1016,1,e010c10a-f1c3-4bba-81ca-a7e083350400,2014-09-12 11:15:07.263
21,,1334,4,"564e0b42-4609-43de-9881-914da433d82d",2014-09-12 11:15:07.263
22,,494,3,"9774aed6-d673-412d-b481-2573e470b478",2014-09-12 11:15:07.263
23,,1014,4,"733f8250-3251-4c2a-8c85-c285bb76b7b4",2014-09-12 11:15:07.263
24,,1336,4,c111e51d-178d-4dbd-a6ff-f1ccbf4b1aad,2014-09-12 11:15:07.263
25,,492,4,"31d03546-fb2a-4488-890e-4709a659e3f0",2014-09-12 11:15:07.263
26,,1012,5,fd4898de-d128-4719-8c74-9f77605aac4a,2014-09-12 11:15:07.263
27,,1338,5,caca5149-d799-473b-847f-83f3613d3d1f,2014-09-12 11:15:07.263
28,,490,6,"9b8a04a4-d909-4f49-b1c5-3de317d69b2a",2014-09-12 11:15:07.263
29,,1010,6,eca7c8fa-490b-4b97-9c32-043c90f789e8,2014-09-12 11:15:07.263
30,,1340,6,"2b15dfb1-831e-49e7-b337-395798b129e7",2014-09-12 11:15:07.263
31,,942,7,effa209a-a110-4f94-887d-e50e44fb06ea,2014-09-12 11:15:07.263
32,,1008,8,b9a28813-542a-4fbf-ae79-bad64a5e133b,2014-09-12 11:15:07.263
33,,1342,9,e6d92b96-fa82-41c0-8945-66a8a5ec017b,2014-09-12 11:15:07.263
34,,940,10,"9edda794-7862-4ff4-b8e2-528847cab2bd",2014-09-12 11:15:07.263
35,,1006,2,"8d74b6b9-6c96-44a5-bec4-0e9736d191be",2014-09-12 11:15:07.263
36,,1344,2,"53c0491d-8ae8-4b16-a830-2078fddf46ad",2014-09-12 11:15:07.263
37,,938,1,c6ebb29a-cc67-459c-90e3-339e0f912906,2014-09-12 11:15:07.263
38,,1004,1,e5eda3f3-4ef1-4806-bd36-e61f3cb2e044,2014-09-12 11:15:07.263
39,,1346,3,"6808b1ed-3c9a-401d-b284-9ac31166d9eb",2014-09-12 11:15:07.263
40,,936,4,aa5e28f6-16c8-4d80-894e-17531f2cf972,2014-09-12 11:15:07.263
41,,1002,4,e1ba20ed-da19-4392-a8a8-c2e670438ffb,2014-09-12 11:15:07.263
42,,1348,4,"64acd300-337d-4d39-a2c4-fd5972611934",2014-09-12 11:15:07.263
43,,1290,1,"9e449d3e-5d79-4f65-a4f1-10dd3b0e0766",2014-09-12 11:15:07.263
44,,1000,5,fb4b073c-6b38-4233-83fe-4236558f4754,2014-09-12 11:15:07.263
45,,1350,5,b50043ed-c66b-4130-bebc-07d413043991,2014-09-12 11:15:07.263
46,,1288,6,"21849ecf-88c2-4574-89d5-397b84df1d0f",2014-09-12 11:15:07.263
47,,998,6,"0d9abe85-d952-432d-831a-8beb7f4e49d0",2014-09-12 11:15:07.263
48,,1352,6,e656589a-198f-454f-b02f-9ce324457bdf,2014-09-12 11:15:07.263
49,,1286,7,f3dfa401-85c6-4118-b5c5-6554310a1192,2014-09-12 11:15:07.263
50,,996,8,"0a3e846a-2dcc-4b6e-8ab3-968b5ab859f4",2014-09-12 11:15:07.263
51,,1354,9,e4c69e3e-be4b-4dcd-b2f0-1237b391bc44,2014-09-12 11:15:07.263
52,,1284,10,"8fb34b30-b19d-4aec-b02e-f1be942800e5",2014-09-12 11:15:07.263
53,,994,2,"81d3b740-dcf1-4f23-a5e3-d81353280016",2014-09-12 11:15:07.263
54,,1356,2,"123b3ebf-4eb0-442a-8482-a4e001cccf89",2014-09-12 11:15:07.263
55,,1282,1,f5d3997b-ad06-46a0-94af-a4460f4be471,2014-09-12 11:15:07.263
56,,992,1,"570b1682-9bb1-4359-984d-8f728e3d6973",2014-09-12 11:15:07.263
57,,1358,3,"7ff17923-e670-4f42-87a3-a6d1af18ea05",2014-09-12 11:15:07.263
58,,1280,3,e324fee8-1ee7-4b96-854e-cfda7b0cbbc8,2014-09-12 11:15:07.263
59,,990,4,"60708606-604c-44be-90e1-3a0925b8060e",2014-09-12 11:15:07.263
60,,1360,4,a029f31e-433b-4fa4-b442-b291d16a1b9f,2014-09-12 11:15:07.263
61,,1278,4,ccc53b43-66a6-47f6-a38e-5dd7cfafeaa6,2014-09-12 11:15:07.263
62,,988,5,"359bb644-407d-4c24-ab98-e637aee7c81e",2014-09-12 11:15:07.263
63,,1362,5,"76e2e4c3-b1ba-4cb2-b410-a4d48ba886e5",2014-09-12 11:15:07.263
64,,1276,6,e6b6f92d-4ac6-4bc7-bf6b-2f3c67498de7,2014-09-12 11:15:07.263
65,,986,6,"7e082443-8af6-4bb6-a0f5-1586271d1f2c",2014-09-12 11:15:07.263
66,,782,6,e91e0048-9a25-489b-96c1-d726da68fb7c,2014-09-12 11:15:07.263
67,,1274,7,"51ce3843-fc98-453e-8cf1-7ea145235d0f",2014-09-12 11:15:07.263
68,,532,8,"2138def5-80eb-4d95-b340-706bcd60adda",2014-09-12 11:15:07.263
69,,784,9,"64841b37-3a25-416a-a129-e9aaa2eff4cd",2014-09-12 11:15:07.263
70,,1272,10,"89e10b04-064e-4313-8203-91fa98a01b11",2014-09-12 11:15:07.263
71,,530,2,"91cc8ac7-27e5-437c-b940-db47692754d3",2014-09-12 11:15:07.263
72,,786,2,"0da3081d-fdc7-4005-b77d-e5afd8c15de6",2014-09-12 11:15:07.263
73,,1270,1,"9d5c135e-bd60-46e0-b371-843391637827",2014-09-12 11:15:07.263
74,,528,1,"73485e57-076d-4b10-bb48-6043dd873582",2014-09-12 11:15:07.263
75,,788,4,"55cfed0e-1a7b-409c-9aff-297065965870",2014-09-12 11:15:07.263
76,,1268,3,"5227d299-b05e-4d6c-a1c9-da63154869ba",2014-09-12 11:15:07.263
77,,556,4,b3f9113c-8fce-47e1-9f04-38a0c68917c6,2014-09-12 11:15:07.263
78,,790,4,"8c8083ab-7943-44fa-b1ad-8e3abd5d66ee",2014-09-12 11:15:07.263
79,,1266,3,"010d8aa6-ceba-4097-9e67-3b2a9674fd5f",2014-09-12 11:15:07.263
80,,554,5,"98dcb8c4-e7c0-43e7-b429-2cb4d8a8d90d",2014-09-12 11:15:07.263
81,,792,5,e25e3769-cadc-4da6-9120-09c3b2205475,2014-09-12 11:15:07.263
82,,1264,6,"92618ece-2254-4852-b3b3-46ed2e0e3e1a",2014-09-12 11:15:07.263
83,,552,6,"8e01f170-64d3-4b74-82e1-d1691ae9f37c",2014-09-12 11:15:07.263
84,,794,6,"45a614ce-3137-4a12-8296-24048c18f320",2014-09-12 11:15:07.263
85,,1262,7,b44000f5-901b-4134-979d-f9a9bea5a598,2014-09-12 11:15:07.263
86,,636,8,"2a8b2702-4644-4002-90e4-99a8adba5261",2014-09-12 11:15:07.263
87,,796,9,"07fb8b21-fb06-49f8-8cd5-9956273cd78a",2014-09-12 11:15:07.263
88,,1260,10,"11feda31-15b6-4f08-9357-355371d4d928",2014-09-12 11:15:07.263
89,,634,2,a34fe994-1098-439f-a042-ee670bf2fa33,2014-09-12 11:15:07.263
90,,798,5,"6fc7d1f9-11e6-4574-90b3-7aa6ffc1ebd9",2014-09-12 11:15:07.263
91,,1258,1,"9f314fc3-9644-4412-a90a-5483f75f665b",2014-09-12 11:15:07.263
92,,632,1,"672412c3-5d5d-488b-b176-e3dafad05d70",2014-09-12 11:15:07.263
93,,800,4,"249b42c2-8eae-49f1-a560-a90837748654",2014-09-12 11:15:07.263
94,,1256,4,"65be08da-dfb7-4bc8-aa5c-fad98b82524e",2014-09-12 11:15:07.263
95,,630,4,ea0bc621-9466-4f04-bbff-3b361c6f9057,2014-09-12 11:15:07.263
96,,1308,4,bac5b4da-00b0-4bf1-816a-1e39f676bf9b,2014-09-12 11:15:07.263
97,,1254,4,"355eb5d8-6b4c-4fff-b12b-40f89ca4e31d",2014-09-12 11:15:07.263
98,,734,5,"7d37485d-a4cf-4c08-8d3c-364deec7c841",2014-09-12 11:15:07.263
99,,1310,5,"8583a63e-3459-44c7-8736-a92e0a7135f2",2014-09-12 11:15:07.263
100,,1252,6,e789f6dd-3159-4ddc-81a8-8571c571656e,2014-09-12 11:15:07.263
101,,732,6,"67ad4f37-2467-4438-a749-d947beec3a92",2014-09-12 11:15:07.263
102,,1312,6,"959cf74b-1004-43f5-9ab7-4cdd482c847d",2014-09-12 11:15:07.263
103,,1894,7,"22390e6f-ac5f-4ded-8ee5-91c1302c7fa2",2014-09-12 11:15:07.263
104,,730,8,ffbe0510-53be-46d9-9406-63afee95de3a,2014-09-12 11:15:07.263
105,,1314,9,f9387ea3-ef35-49b2-b535-e02368d2c0fd,2014-09-12 11:15:07.263
106,,1892,10,aafbf7d5-8759-4962-9deb-77c6e22875f4,2014-09-12 11:15:07.263
107,,728,2,"9522ca57-0246-496a-ae49-d9821cd67817",2014-09-12 11:15:07.263
108,,1316,2,d1e756e0-a0d1-43d6-a7cb-ac5c5ef404e7,2014-09-12 11:15:07.263
109,,1890,1,"7585790b-6034-4520-a383-9fa1e8b3e76e",2014-09-12 11:15:07.263
110,,1888,1,"82c2f3f0-63b8-46cc-aedc-3a856956ef04",2014-09-12 11:15:07.263
111,,726,3,"0122151a-9140-4663-a3eb-a442d88bc1bb",2014-09-12 11:15:07.263
112,,1318,4,"5035e4d6-3758-4fa6-a462-2e2ecf52e6f0",2014-09-12 11:15:07.263
113,,1886,4,"8a84966c-5d38-41ca-990f-ad107558a6b8",2014-09-12 11:15:07.263
114,,724,4,bcc5ae61-8214-44a1-a43c-fbd65c3745ae,2014-09-12 11:15:07.263
115,,1320,1,"080f7047-8396-4cec-ab43-56cf41de4e00",2014-09-12 11:15:07.263
116,,1884,5,"061c4697-f808-4c31-823e-5e8e60efe0aa",2014-09-12 11:15:07.263
117,,722,5,"18406109-f4ac-4f30-a96f-4e056996de56",2014-09-12 11:15:07.263
118,,1322,6,"5feafbd2-4a43-4641-8e94-b3059b2a882e",2014-09-12 11:15:07.263
119,,1882,6,d13245ef-8267-4cb4-87c9-c23155d33e93,2014-09-12 11:15:07.263
120,,720,6,"25863c18-4c9a-4bc9-be0d-95f4cf67bf7d",2014-09-12 11:15:07.263
121,,1324,7,"7472ff87-0fbc-4d1f-b599-d47b51b41cf0",2014-09-12 11:15:07.263
122,,1880,8,"094eb96d-d265-474d-869e-d9bace4745a7",2014-09-12 11:15:07.263
123,,718,9,bc0a8115-7e8f-4faa-947f-fd315c30250d,2014-09-12 11:15:07.263
124,,1326,10,"2f614c31-abae-42d0-820b-193f0ddc811e",2014-09-12 11:15:07.263
125,,1878,2,"69af6e37-ead1-4fbd-82f0-61ce3b35f943",2014-09-12 11:15:07.263
126,,716,2,b03efe01-3333-4805-9913-99323c143526,2014-09-12 11:15:07.263
127,,1328,1,ef55103f-acc7-4bfd-89b1-20a04845e706,2014-09-12 11:15:07.263
128,,1876,1,"03f73e74-8de5-421e-b5af-04b259268dd6",2014-09-12 11:15:07.263
129,,714,3,e03db34c-bf17-407d-9423-fa22dbfdd292,2014-09-12 11:15:07.263
130,,1330,4,"606ecdc2-6443-4e4b-897f-32d4c17ab894",2014-09-12 11:15:07.263
131,,1874,4,ed0df7cc-6234-4d60-8b81-315c019f5356,2014-09-12 11:15:07.263
132,,712,3,"7649e8af-3dab-43aa-b7df-9776f84dfb71",2014-09-12 11:15:07.263
133,,978,4,"4f61574b-8353-42ec-825c-87896e6e16a4",2014-09-12 11:15:07.263
134,,1872,5,fd0d8467-48d9-42b8-a4e6-dabc96f58925,2014-09-12 11:15:07.263
135,,710,5,dffd552f-30e0-488a-ac07-83c9a7b075c7,2014-09-12 11:15:07.263
136,,980,6,"84cd4767-f142-4d9d-9033-ad3ade34bf74",2014-09-12 11:15:07.263
137,,418,6,d6a1aee7-25ef-4417-ab10-65bc21661864,2014-09-12 11:15:07.263
138,,708,6,"91b9ef4b-2fa8-4936-ac71-1fa1b3624d12",2014-09-12 11:15:07.263
139,,982,7,"23a1a3e2-16f0-40aa-87d4-f4ae97d12581",2014-09-12 11:15:07.263
140,,416,8,"01cd7e33-edd0-46a9-8505-f3e85d9f21f4",2014-09-12 11:15:07.263
141,,706,9,e0b29cc8-066d-4f7f-98c3-0f5136bb85d9,2014-09-12 11:15:07.263
142,,984,10,b821d13f-e9db-4a3b-87d0-7e867a161575,2014-09-12 11:15:07.263
143,,520,2,"95e93efe-78e9-470c-b4a7-4dd6a5d0f14b",2014-09-12 11:15:07.263
144,,704,2,"53c1a4ac-2de2-4ab5-808f-523be758ad29",2014-09-12 11:15:07.263
145,,522,1,fec5609d-042b-4480-b1ba-55f2d4107327,2014-09-12 11:15:07.263
146,,518,1,"5475e9dd-98ca-4989-b7a2-3fc929beea12",2014-09-12 11:15:07.263
147,,702,3,"03836a0b-7ad8-4115-8d23-6efa0d8deea1",2014-09-12 11:15:07.263
148,,524,3,"79355855-a002-4393-bb6e-36f90913fa4d",2014-09-12 11:15:07.263
149,,516,3,baa99d94-2fc2-4a1c-8b67-2c3210eb90c3,2014-09-12 11:15:07.263
150,,700,4,"285c5dd7-75d6-460d-97ba-aa86d86637c0",2014-09-12 11:15:07.263
151,,526,4,"7f2891f7-dd88-470b-95ae-cc9a7d732b1f",2014-09-12 11:15:07.263
152,,650,5,e07b697e-74c1-4f52-818f-32531696f7ab,2014-09-12 11:15:07.263
153,,514,5,"10c2da66-32a2-4c63-998f-9b18cdd6e3b0",2014-09-12 11:15:07.263
154,,626,6,"4f60f75e-b20a-4056-874c-b7f3bd33bf3f",2014-09-12 11:15:07.263
155,,648,6,"3b56cd66-5ddf-430c-ab41-3ff6a1836868",2014-09-12 11:15:07.263
156,,512,6,cfffaafb-98dc-4392-84f9-fb3229f35265,2014-09-12 11:15:07.263
157,,628,7,da4968b5-6ba0-4478-bbdc-3a00e9a1b59e,2014-09-12 11:15:07.263
158,,646,8,c48cfb9b-45a2-4dc2-b932-ba8c2572e833,2014-09-12 11:15:07.263
159,,456,9,eb0f31c8-c2cf-46cd-8f92-c4059190a9c6,2014-09-12 11:15:07.263
160,,658,10,b42d510d-3ae4-4911-88cf-8d90d6bd0922,2014-09-12 11:15:07.263
161,,820,2,"5a1817b3-6c90-4c17-adf8-b30a06f92141",2014-09-12 11:15:07.263
162,,454,2,f4d0ee10-e276-4a3d-8d3b-e1904195f1b8,2014-09-12 11:15:07.263
163,,660,1,"989f9f3a-7cb8-4083-8cda-291c682be73c",2014-09-12 11:15:07.263
164,,818,1,"5a323aca-74a2-4ca0-aa3b-e1ae299aad08",2014-09-12 11:15:07.263
165,,506,4,"3cdbd3ea-da78-4f9a-8eec-8da4c050c817",2014-09-12 11:15:07.263
166,,662,4,f644d9dc-4ced-49e8-8587-ce859e466dfa,2014-09-12 11:15:07.263
167,,816,4,"515d4a13-4e60-4d0c-8f22-bb89a9d312ad",2014-09-12 11:15:07.263
168,,504,4,fce18386-f492-4d4a-a6d2-fb7ef20c57fc,2014-09-12 11:15:07.263
169,,804,1,"2d6bbc35-bc19-4cb4-a61b-46899d3a4237",2014-09-12 11:15:07.263
170,,814,5,"1f8334e8-3ddc-4530-a1d2-e0bab826476e",2014-09-12 11:15:07.263
171,,502,5,"3c40e926-090d-4a7a-9e9d-d9222ae910c5",2014-09-12 11:15:07.263
172,,806,6,"324c671d-dd10-4ee2-857a-767917acc2a3",2014-09-12 11:15:07.263
173,,812,6,fdc12e98-898b-4c22-972f-f0ebfbfcb7b0,2014-09-12 11:15:07.263
174,,500,6,"9c4ddefa-aabd-4a51-ab90-998985fb7d2f",2014-09-12 11:15:07.263
175,,808,7,"66f2342a-7cc4-4f5f-a218-8791b21a9173",2014-09-12 11:15:07.263
176,,446,8,"10219f9c-bef1-4cac-a435-d75342c43153",2014-09-12 11:15:07.263
177,,688,9,"6abc1437-87ff-49fe-8b91-9eeeeb4143d4",2014-09-12 11:15:07.263
